Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,comb
issaqbaazi,"divya kumar, sukhwinder singh",bollywooddance,zero,9.1/10,"issaqbaazi divya kumar, sukhwinder singh zero bollywooddance"
mere naam tu,abhay jodhpurkar,bollywoodromantic,zero,9.2/10,mere naam tu abhay jodhpurkar zero bollywoodromantic
high rated gabru  nawabzaade,guru randhawa,bollywooddance,nawabzaade,9.2/10,high rated gabru  nawabzaade guru randhawa nawabzaade bollywooddance
dekhte dekhte,atif aslam,bollywoodromantic,batti gul meter chalu,9.5/10,dekhte dekhte atif aslam batti gul meter chalu bollywoodromantic
zingaat,"ajay, atul",bollywooddance,dhadak,8.6/10,"zingaat ajay, atul dhadak bollywooddance"
tareefan,badshah,bollywood,veere di wedding,9.1/10,tareefan badshah veere di wedding bollywood
mile ho tum (reprise),"neha kakkar, tony kakkar",bollywoodromantic,fever,9.0/10,"mile ho tum (reprise) neha kakkar, tony kakkar fever bollywoodromantic"
dil chori,"ishers, simar kaur, yo yo honey singh",bollywooddance,sonu ke titu ki sweety,9.0/10,"dil chori ishers, simar kaur, yo yo honey singh sonu ke titu ki sweety bollywooddance"
tere naal nachna,"badshah, sunanda sharma",bollywooddance,nawabzaade,9.2/10,"tere naal nachna badshah, sunanda sharma nawabzaade bollywooddance"
dil meri na sune,atif aslam,bollywoodromantic,genius,9.5/10,dil meri na sune atif aslam genius bollywoodromantic
dhadak title track,"ajay gogavale, shreya ghoshal",bollywoodromantic,dhadak,9.4/10,"dhadak title track ajay gogavale, shreya ghoshal dhadak bollywoodromantic"
heeriye,"deep money, meet bros, neha bhasin",bollywooddanceromantic,race 3,8.7/10,"heeriye deep money, meet bros, neha bhasin race 3 bollywooddanceromantic"
chogada,"asees kaur, darshan raval",bollywooddance,loveratri,9.3/10,"chogada asees kaur, darshan raval loveratri bollywooddance"
gud naal ishq mitha,"harshdeep kaur, navraj hans",bollywooddance,ek ladki ko dekha toh aisa laga,9.3/10,"gud naal ishq mitha harshdeep kaur, navraj hans ek ladki ko dekha toh aisa laga bollywooddance"
paniyon sa,"atif aslam, tulsi kumar",bollywoodromantic,satyameva jayate,9.5/10,"paniyon sa atif aslam, tulsi kumar satyameva jayate bollywoodromantic"
milegi milegi,mika singh,bollywooddance,stree,9.1/10,milegi milegi mika singh stree bollywooddance
morni banke,"guru randhawa, neha kakkar",bollywooddance,badhaai ho,9.0/10,"morni banke guru randhawa, neha kakkar badhaai ho bollywooddance"
bhare bazaar,"b praak, badshah, payal dev, vishal dadlani",bollywooddance,namaste england,9.0/10,"bhare bazaar b praak, badshah, payal dev, vishal dadlani namaste england bollywooddance"
khalibali,shivam pathak,bollywooddance,padmaavat,9.1/10,khalibali shivam pathak padmaavat bollywooddance
aao kabhi haveli pe,"badshah, jigar, nikhita gandhi, sachin sanghvi",bollywooddance,stree,8.4/10,"aao kabhi haveli pe badshah, jigar, nikhita gandhi, sachin sanghvi stree bollywooddance"
badri ki dulhania,"dev negi, ikka, monali thakur, neha kakkar",bollywooddance,badrinath ki dulhania,8.4/10,"badri ki dulhania dev negi, ikka, monali thakur, neha kakkar badrinath ki dulhania bollywooddance"
cheez badi,"neha kakkar, udit narayan",bollywooddance,machine,8.8/10,"cheez badi neha kakkar, udit narayan machine bollywooddance"
dholida,"neha kakkar, palak muchchal, raja hassan, udit narayan",bollywooddance,loveratri,9.2/10,"dholida neha kakkar, palak muchchal, raja hassan, udit narayan loveratri bollywooddance"
sweetheart,dev negi,bollywooddance,kedarnath,9.2/10,sweetheart dev negi kedarnath bollywooddance
namo namo,amit trivedi,bollywooddevotional,kedarnath,9.6/10,namo namo amit trivedi kedarnath bollywooddevotional
qaafirana,"arijit singh, nikhita gandhi",bollywoodromantic,kedarnath,9.6/10,"qaafirana arijit singh, nikhita gandhi kedarnath bollywoodromantic"
tu hi re,"armaan malik, shashaa tirupati",bollywooddance,2,9.0/10,"tu hi re armaan malik, shashaa tirupati 2 bollywooddance"
chhote chhote peg,"navraj hans, neha kakkar, yo yo honey singh",bollywooddance,sonu ke titu ki sweety,9.1/10,"chhote chhote peg navraj hans, neha kakkar, yo yo honey singh sonu ke titu ki sweety bollywooddance"
galti se mistake,"amit mishra, arijit singh",bollywooddance,jagga jasoos,8.5/10,"galti se mistake amit mishra, arijit singh jagga jasoos bollywooddance"
phir mulaaqat,jubin nautiyal,bollywoodromantic,cheat india,9.5/10,phir mulaaqat jubin nautiyal cheat india bollywoodromantic
kala chashma,"amar arshi, badshah, neha kakkar",bollywooddance,baar baar dekho,8.5/10,"kala chashma amar arshi, badshah, neha kakkar baar baar dekho bollywooddance"
mantoiyat,raftaar,bollywood,manto,9.7/10,mantoiyat raftaar manto bollywood
nashe si chadh gayi,arijit singh,bollywooddance,befikre,8.9/10,nashe si chadh gayi arijit singh befikre bollywooddance
mera pyar tera pyar,arijit singh,bollywoodromanticsad,jalebi,9.6/10,mera pyar tera pyar arijit singh jalebi bollywoodromanticsad
ding dang,"amit mishra, antara mitra",bollywooddance,munna michael,8.5/10,"ding dang amit mishra, antara mitra munna michael bollywooddance"
main tera boyfriend,"arijit singh, meet bros, neha kakkar",bollywooddance,raabta,9.1/10,"main tera boyfriend arijit singh, meet bros, neha kakkar raabta bollywooddance"
laila main laila,pawni pandey,bollywooddance,raees,8.7/10,laila main laila pawni pandey raees bollywooddance
ghoomar,"shreya ghoshal, swaroop khan",bollywooddance,padmaavat,8.6/10,"ghoomar shreya ghoshal, swaroop khan padmaavat bollywooddance"
rafta rafta medley,"akash ojha, disha sharma, jordi patel, rekha, sonakshi sinha, vishal mishra",bollywooddance,yamla pagla deewana phir se,9.3/10,"rafta rafta medley akash ojha, disha sharma, jordi patel, rekha, sonakshi sinha, vishal mishra yamla pagla deewana phir se bollywooddance"
pal,"arijit singh, shreya ghoshal",bollywoodromantic,jalebi,9.7/10,"pal arijit singh, shreya ghoshal jalebi bollywoodromantic"
patola,guru randhawa,bollywooddance,black mail,8.9/10,patola guru randhawa black mail bollywooddance
pallo latke,"fazilpuria, jyotica tangri, yasser desai",bollywooddance,shaadi mein zaroor aana,9.0/10,"pallo latke fazilpuria, jyotica tangri, yasser desai shaadi mein zaroor aana bollywooddance"
main badhiya tu bhi badhiya,"sonu nigam, sunidhi chauhan",bollywood,sanju,9.0/10,"main badhiya tu bhi badhiya sonu nigam, sunidhi chauhan sanju bollywood"
billionaire,"simar kaur, singhsta, yo yo honey singh",bollywooddance,baazaar,9.3/10,"billionaire simar kaur, singhsta, yo yo honey singh baazaar bollywooddance"
this party is over now,yo yo honey singh,bollywooddance,mitron,9.3/10,this party is over now yo yo honey singh mitron bollywooddance
heer badnaam,romy,bollywooddancesad,zero,9.1/10,heer badnaam romy zero bollywooddancesad
tera hua,atif aslam,bollywoodromantic,loveratri,9.0/10,tera hua atif aslam loveratri bollywoodromantic
jaan nisaar,arijit singh,bollywoodromantic,kedarnath,9.7/10,jaan nisaar arijit singh kedarnath bollywoodromantic
akh lad jaaye,"asees kaur, badshah, jubin nautiyal",bollywooddanceromantic,loveratri,9.2/10,"akh lad jaaye asees kaur, badshah, jubin nautiyal loveratri bollywooddanceromantic"
rangtaari,"dev negi, yo yo honey singh",bollywooddance,loveratri,9.1/10,"rangtaari dev negi, yo yo honey singh loveratri bollywooddance"
the humma song,"badshah, jubin nautiyal, shashaa tirupati",bollywooddance,ok jaanu,9.0/10,"the humma song badshah, jubin nautiyal, shashaa tirupati ok jaanu bollywooddance"
pehli baar,ajay gogavale,bollywoodromantic,dhadak,8.9/10,pehli baar ajay gogavale dhadak bollywoodromantic
tera yaar hoon main,arijit singh,bollywoodromanticsad,sonu ke titu ki sweety,9.5/10,tera yaar hoon main arijit singh sonu ke titu ki sweety bollywoodromanticsad
dilbaro,"harshdeep kaur, shankar mahadevan, vibha saraf",bollywood,raazi,9.5/10,"dilbaro harshdeep kaur, shankar mahadevan, vibha saraf raazi bollywood"
chhod diya,arijit singh,bollywoodsad,baazaar,9.7/10,chhod diya arijit singh baazaar bollywoodsad
maine tujhko dekha,"neeraj shridhar, sukriti kakar",bollywooddance,golmaal again,9.0/10,"maine tujhko dekha neeraj shridhar, sukriti kakar golmaal again bollywooddance"
allah duhai hai,"amit mishra, jonita gandhi, sreerama chandra",bollywooddance,race 3,8.1/10,"allah duhai hai amit mishra, jonita gandhi, sreerama chandra race 3 bollywooddance"
cham cham,monali thakur,bollywooddance,baaghi,8.1/10,cham cham monali thakur baaghi bollywooddance
kar har maidaan fateh,"shreya ghoshal, sukhwinder singh",bollywoodmotivational,sanju,9.5/10,"kar har maidaan fateh shreya ghoshal, sukhwinder singh sanju bollywoodmotivational"
kamariya,"aastha gill, divya kumar, jigar saraiya, sachin sanghvi",bollywooddance,stree,9.1/10,"kamariya aastha gill, divya kumar, jigar saraiya, sachin sanghvi stree bollywooddance"
tamma tamma again,"anuradha paudwal, badshah, bappi lahiri",bollywooddance,badrinath ki dulhania,8.6/10,"tamma tamma again anuradha paudwal, badshah, bappi lahiri badrinath ki dulhania bollywooddance"
tera fitoor,arijit singh,bollywoodromantic,genius,9.4/10,tera fitoor arijit singh genius bollywoodromantic
mere rashke qamar,"nusrat fateh ali khan, rahat fateh ali khan",bollywoodromantic,baadshaho,9.0/10,"mere rashke qamar nusrat fateh ali khan, rahat fateh ali khan baadshaho bollywoodromantic"
the breakup song,"arijit singh, badshah, jonita gandhi, nakash aziz",bollywooddance,ae dil hai mushkil,9.0/10,"the breakup song arijit singh, badshah, jonita gandhi, nakash aziz ae dil hai mushkil bollywooddance"
naino ne bandhi,yasser desai,bollywoodromantic,gold,9.6/10,naino ne bandhi yasser desai gold bollywoodromantic
sanu ek pal chain,rahat fateh ali khan,bollywoodromantic,raid,9.3/10,sanu ek pal chain rahat fateh ali khan raid bollywoodromantic
ban ja rani,guru randhawa,bollywooddanceromantic,tumhari sulu,9.0/10,ban ja rani guru randhawa tumhari sulu bollywooddanceromantic
zaalima,"arijit singh, harshdeep kaur",bollywooddanceromantic,raees,9.2/10,"zaalima arijit singh, harshdeep kaur raees bollywooddanceromantic"
baarish,"ash king, shashaa tirupati",bollywoodromantic,half girlfriend,9.3/10,"baarish ash king, shashaa tirupati half girlfriend bollywoodromantic"
aashiq banaya aapne,"himesh reshammiya, neha kakkar",bollywooddance,hate story 4,9.1/10,"aashiq banaya aapne himesh reshammiya, neha kakkar hate story 4 bollywooddance"
ek do teen song,shreya ghoshal,bollywooddance,baaghi 2,8.6/10,ek do teen song shreya ghoshal baaghi 2 bollywooddance
tere liye,"akanksha bhandari, atif aslam",bollywoodromantic,namaste england,9.5/10,"tere liye akanksha bhandari, atif aslam namaste england bollywoodromantic"
nazam nazam,"arko, ayushman khurana",bollywoodromance,bareilly ki barfi,9.5/10,"nazam nazam arko, ayushman khurana bareilly ki barfi bollywoodromance"
good morning,"shannon donald, vishal dadlani",bollywood,ek ladki ko dekha toh aisa laga,9.0/10,"good morning shannon donald, vishal dadlani ek ladki ko dekha toh aisa laga bollywood"
o saathi,"atif aslam, payal dev",bollywoodromantic,baaghi 2,9.4/10,"o saathi atif aslam, payal dev baaghi 2 bollywoodromantic"
tere jaisa,"arko, tulsi kumar",bollywoodromantic,satyameva jayate,9.2/10,"tere jaisa arko, tulsi kumar satyameva jayate bollywoodromantic"
mera intkam dekhegi,krishna beuraa,bollywoodsad,shaadi mein zaroor aana,9.6/10,mera intkam dekhegi krishna beuraa shaadi mein zaroor aana bollywoodsad
gerua,"antara mitra, arijit singh",bollywoodromantic,dilwale,9.3/10,"gerua antara mitra, arijit singh dilwale bollywoodromantic"
suraiyya,"shreya ghoshal, vishal dadlani",bollywooddance,thugs of hindostan,7.7/10,"suraiyya shreya ghoshal, vishal dadlani thugs of hindostan bollywooddance"
gold tamba,nakash aziz,bollywooddance,batti gul meter chalu,9.2/10,gold tamba nakash aziz batti gul meter chalu bollywooddance
ae dil hai mushkil,arijit singh,bollywoodsad,ae dil hai mushkil,9.3/10,ae dil hai mushkil arijit singh ae dil hai mushkil bollywoodsad
prem ratan dhan payo,palak muchhal,bollywooddanceromantic,prem ratan dhan payo,7.7/10,prem ratan dhan payo palak muchhal prem ratan dhan payo bollywooddanceromantic
mohabbat,sunidhi chauhan,bollywooddance,fanney khan,9.0/10,mohabbat sunidhi chauhan fanney khan bollywooddance
nainowale ne,neeti mohan,bollywoodromantic,padmaavat,9.5/10,nainowale ne neeti mohan padmaavat bollywoodromantic
mummy kasam,"gurinder seagal, payal dev",bollywooddance,nawabzaade,9.4/10,"mummy kasam gurinder seagal, payal dev nawabzaade bollywooddance"
nasha,amit gupta,bollywoodsensual,game paisa ladki,9.0/10,nasha amit gupta game paisa ladki bollywoodsensual
bulleya,"amit mishra, shilpa rao",bollywooddancesad,ae dil hai mushkil,9.2/10,"bulleya amit mishra, shilpa rao ae dil hai mushkil bollywooddancesad"
kar gayi chull,"badshah, fazilpuria, neha kakkar, sukriti kakar",bollywooddance,kapoor & sons,9.0/10,"kar gayi chull badshah, fazilpuria, neha kakkar, sukriti kakar kapoor & sons bollywooddance"
musafir,"atif aslam, palak muchhal",bollywoodsad,sweetiee weds nri,9.4/10,"musafir atif aslam, palak muchhal sweetiee weds nri bollywoodsad"
binte dil,arijit singh,bollywooddance,padmaavat,9.4/10,binte dil arijit singh padmaavat bollywooddance
halka halka,"divya kumar, sunidhi chauhan",bollywoodromantic,fanney khan,9.1/10,"halka halka divya kumar, sunidhi chauhan fanney khan bollywoodromantic"
humsafar,"akhil sachdeva, mansheel gujral",bollywoodromanticsad,badrinath ki dulhania,9.3/10,"humsafar akhil sachdeva, mansheel gujral badrinath ki dulhania bollywoodromanticsad"
chad gayi hai,"jigar, sachin sanghvi, vishal dadlani",bollywooddance,gold,9.2/10,"chad gayi hai jigar, sachin sanghvi, vishal dadlani gold bollywooddance"
tum mere ho,"amrita singh, jubin nautiyal",bollywoodsensual,hate story 4,9.1/10,"tum mere ho amrita singh, jubin nautiyal hate story 4 bollywoodsensual"
bole chudiyan,"alka yagnik, amit kumar, kavita krishnamurthy, sonu nigam, udit narayan",bollywooddanceromantic,kabhi khushi kabhie gham,9.0/10,"bole chudiyan alka yagnik, amit kumar, kavita krishnamurthy, sonu nigam, udit narayan kabhi khushi kabhie gham bollywooddanceromantic"
sawarne lage,jubin nautiyal,bollywoodromantic,mitron,9.8/10,sawarne lage jubin nautiyal mitron bollywoodromantic
chalti hai kya 9 se 12,"dev negi, neha kakkar",bollywooddance,judwaa 2,8.9/10,"chalti hai kya 9 se 12 dev negi, neha kakkar judwaa 2 bollywooddance"
selfish,"atif aslam, iulia vantur",bollywoodromantic,race 3,6.8/10,"selfish atif aslam, iulia vantur race 3 bollywoodromantic"
oonchi hai building,"anu malik, neha kakkar",bollywooddance,judwaa 2,8.9/10,"oonchi hai building anu malik, neha kakkar judwaa 2 bollywooddance"
shikwa nahin kisi se,kumar sanu,bollywoodsad,naseeb,8.2/10,shikwa nahin kisi se kumar sanu naseeb bollywoodsad
sanam re,arijit singh,bollywoodromantic,sanam re,8.7/10,sanam re arijit singh sanam re bollywoodromantic
dekha hai pehli baar,"alka yagnik, s.p. balasubrahmanyam",bollywooddance,saajan,8.2/10,"dekha hai pehli baar alka yagnik, s.p. balasubrahmanyam saajan bollywooddance"
phir bhi tumko chaahunga,"arijit singh, shashaa tirupati",bollywoodsad,half girlfriend,9.4/10,"phir bhi tumko chaahunga arijit singh, shashaa tirupati half girlfriend bollywoodsad"
suit suit,"arjun, guru randhawa",bollywooddance,hindi medium,9.0/10,"suit suit arjun, guru randhawa hindi medium bollywooddance"
nachange saari raat,"meet bros, neeraj shridhar, tulsi kumar",bollywooddance,junooniyat,8.9/10,"nachange saari raat meet bros, neeraj shridhar, tulsi kumar junooniyat bollywooddance"
ishq di baajiyan,diljit dosanjh,bollywoodromantic,soorma,9.9/10,ishq di baajiyan diljit dosanjh soorma bollywoodromantic
hard hard,"mika singh, prakriti kakar, sachet tandon",bollywooddance,batti gul meter chalu,8.7/10,"hard hard mika singh, prakriti kakar, sachet tandon batti gul meter chalu bollywooddance"
udi udi jaye,"bhoomi trivedi, karsan sagathia, sukhwinder singh",bollywooddance,raees,8.9/10,"udi udi jaye bhoomi trivedi, karsan sagathia, sukhwinder singh raees bollywooddance"
nazar na lag jaaye,"ash king, jigar, sachin sanghvi",bollywoodromantic,stree,9.6/10,"nazar na lag jaaye ash king, jigar, sachin sanghvi stree bollywoodromantic"
nachle na,"guru randhawa, neeti mohan",bollywooddance,dil juunglee,9.5/10,"nachle na guru randhawa, neeti mohan dil juunglee bollywooddance"
hatt ja tau,sunidhi chauhan,bollywooddance,veerey ki wedding,8.7/10,hatt ja tau sunidhi chauhan veerey ki wedding bollywooddance
chittiyaan kalaiyaan,"anjjan, kanika kapoor, meet bros",bollywooddance,roy,8.4/10,"chittiyaan kalaiyaan anjjan, kanika kapoor, meet bros roy bollywooddance"
la la la (baazaar),"bilal saeed, neha kakkar",bollywooddanceromantic,baazaar,9.5/10,"la la la (baazaar) bilal saeed, neha kakkar baazaar bollywooddanceromantic"
tujhse kahan judaa hoon main,"himesh reshammiya, neeti mohan, vineet singh",bollywoodsad,genius,9.3/10,"tujhse kahan judaa hoon main himesh reshammiya, neeti mohan, vineet singh genius bollywoodsad"
hua hain aaj pehli baar,"armaan malik, palak muchhal",bollywoodromantic,sanam re,8.3/10,"hua hain aaj pehli baar armaan malik, palak muchhal sanam re bollywoodromantic"
jay-jaykara,kailash kher,bollywoodsad,baahubali 2 - the conclusion,9.2/10,jay-jaykara kailash kher baahubali 2 - the conclusion bollywoodsad
tu hi hai,rahul mishra,bollywood,half girlfriend,9.3/10,tu hi hai rahul mishra half girlfriend bollywood
hawa hawa,"mika singh, prakriti kakkar",bollywooddance,mubarakan,8.9/10,"hawa hawa mika singh, prakriti kakkar mubarakan bollywooddance"
bhangra ta sajda,"neha kakkar, romy, shashwat sachdev, surya ragunaathan",bollywooddance,veere di wedding,8.7/10,"bhangra ta sajda neha kakkar, romy, shashwat sachdev, surya ragunaathan veere di wedding bollywooddance"
deewani mastani,"ganesh chandanshive, shreya ghoshal",bollywooddance,bajirao mastani,9.1/10,"deewani mastani ganesh chandanshive, shreya ghoshal bajirao mastani bollywooddance"
o meri laila,"atif aslam, jyotica tangri",bollywoodromantic,laila majnu,9.6/10,"o meri laila atif aslam, jyotica tangri laila majnu bollywoodromantic"
lo safar,jubin nautiyal,bollywoodromantic,baaghi 2,9.4/10,lo safar jubin nautiyal baaghi 2 bollywoodromantic
chalte chalte,atif aslam,bollywoodromantic,mitron,9.6/10,chalte chalte atif aslam mitron bollywoodromantic
party chale on,"iulia vantur, mika singh",bollywooddance,race 3,8.6/10,"party chale on iulia vantur, mika singh race 3 bollywooddance"
sweety tera drama,"dev negi, pawni pandey, shraddha pandit",bollywooddance,bareilly ki barfi,9.1/10,"sweety tera drama dev negi, pawni pandey, shraddha pandit bareilly ki barfi bollywooddance"
ek dil ek jaan,shivam pathak,bollywoodromantic,padmaavat,9.2/10,ek dil ek jaan shivam pathak padmaavat bollywoodromantic
ae watan,arijit singh,bollywoodpatriotic,raazi,9.6/10,ae watan arijit singh raazi bollywoodpatriotic
sunn le zara,arnab dutta,bollywoodsad,1921,9.6/10,sunn le zara arnab dutta 1921 bollywoodsad
naam hai mera,neeti mohan,bollywoodromanticsad,hate story 4,8.8/10,naam hai mera neeti mohan hate story 4 bollywoodromanticsad
jiyo re baahubali,"daler mehndi, ramya behara, sanjeev chimmalgi",bollywooddance,baahubali 2,8.7/10,"jiyo re baahubali daler mehndi, ramya behara, sanjeev chimmalgi baahubali 2 bollywooddance"
soniye dil nayi,"ankit tiwari, shruti pathak",bollywoodromanticsad,baaghi 2,9.4/10,"soniye dil nayi ankit tiwari, shruti pathak baaghi 2 bollywoodromanticsad"
mundiyan,"navraj hans, palak muchhal",bollywooddance,baaghi 2,9.0/10,"mundiyan navraj hans, palak muchhal baaghi 2 bollywooddance"
chitthi aai hai,pankaj udhas,bollywoodsad,naam,8.1/10,chitthi aai hai pankaj udhas naam bollywoodsad
hawayein,arijit singh,bollywoodromantic,jab harry met sejal,9.6/10,hawayein arijit singh jab harry met sejal bollywoodromantic
channa mereya,arijit singh,bollywoodsad,ae dil hai mushkil,9.3/10,channa mereya arijit singh ae dil hai mushkil bollywoodsad
lag ja gale,jonita gandhi,bollywoodromantic,saheb biwi aur gangster 3,9.4/10,lag ja gale jonita gandhi saheb biwi aur gangster 3 bollywoodromantic
sleepy sleepy akiyaan,"asees kaur, yasser desai",bollywooddance,bhaiaji superhit,9.2/10,"sleepy sleepy akiyaan asees kaur, yasser desai bhaiaji superhit bollywooddance"
subah subah,"amaal mallik, arijit singh, prakriti kakkar",bollywooddance,sonu ke titu ki sweety,9.5/10,"subah subah amaal mallik, arijit singh, prakriti kakkar sonu ke titu ki sweety bollywooddance"
naina da kya kasoor,amit trivedi,bollywoodromantic,andha dhun,9.6/10,naina da kya kasoor amit trivedi andha dhun bollywoodromantic
soorma anthem,shankar mahadevan,bollywoodmotivational,soorma,9.9/10,soorma anthem shankar mahadevan soorma bollywoodmotivational
agar tum saath ho,"alka yagnik, arijit singh",bollywoodsad,tamasha,9.4/10,"agar tum saath ho alka yagnik, arijit singh tamasha bollywoodsad"
tum se,jubin nautiyal,bollywoodromanticsad,jalebi,9.7/10,tum se jubin nautiyal jalebi bollywoodromanticsad
kem cho,"ikka, jyotica tangri",bollywooddance,baazaar,9.4/10,"kem cho ikka, jyotica tangri baazaar bollywooddance"
aaj se teri,arijit singh,bollywoodromantic,padman,9.4/10,aaj se teri arijit singh padman bollywoodromantic
maana ke hum yaar nahin,parineeti chopra,bollywoodromantic,meri pyaari bindu,9.5/10,maana ke hum yaar nahin parineeti chopra meri pyaari bindu bollywoodromantic
nain na jodeen,"ayushmann khurrana, neha kakkar, rochak kohli",bollywoodromanticsad,badhaai ho,9.3/10,"nain na jodeen ayushmann khurrana, neha kakkar, rochak kohli badhaai ho bollywoodromanticsad"
wajah tum ho,"altamash faridi, mithoon, tulsi kumar",bollywoodromanticsadsensual,wajah tum ho,8.1/10,"wajah tum ho altamash faridi, mithoon, tulsi kumar wajah tum ho bollywoodromanticsadsensual"
pyaar de,ankit tiwari,bollywoodromantic,beiimaan love,8.5/10,pyaar de ankit tiwari beiimaan love bollywoodromantic
ik vaari aa,arijit singh,bollywoodromantic,raabta,9.4/10,ik vaari aa arijit singh raabta bollywoodromantic
radha,"shekhar ravjiani, shreya ghoshal, udit narayan, vishal dadlani",bollywooddance,student of the year,8.6/10,"radha shekhar ravjiani, shreya ghoshal, udit narayan, vishal dadlani student of the year bollywooddance"
mehbooba,"mohammed rafi, neha kakkar, yasser desai",bollywooddance,fukrey returns,9.4/10,"mehbooba mohammed rafi, neha kakkar, yasser desai fukrey returns bollywooddance"
hamari adhuri kahani,arijit singh,bollywoodsad,hamari adhuri kahani,9.3/10,hamari adhuri kahani arijit singh hamari adhuri kahani bollywoodsad
tere sang yaara,atif aslam,bollywoodromantic,rustom,9.1/10,tere sang yaara atif aslam rustom bollywoodromantic
radha,"shahid mallya, sunidhi chauhan",bollywoodromantic,jab harry met sejal,9.2/10,"radha shahid mallya, sunidhi chauhan jab harry met sejal bollywoodromantic"
kamli,sunidhi chauhan,bollywooddance,dhoom 3,9.0/10,kamli sunidhi chauhan dhoom 3 bollywooddance
maiya yashoda,"alka yagnik, anuradha paudwal, kavita krishnamurthy",bollywooddance,hum saath-saath hain,7.2/10,"maiya yashoda alka yagnik, anuradha paudwal, kavita krishnamurthy hum saath-saath hain bollywooddance"
lae dooba,sunidhi chauhan,bollywoodsad,aiyaary,9.7/10,lae dooba sunidhi chauhan aiyaary bollywoodsad
abhi toh party shuru hui hai,"aastha gill, badshah",bollywooddance,khoobsurat,8.5/10,"abhi toh party shuru hui hai aastha gill, badshah khoobsurat bollywooddance"
hello hello,rekha bhardwaj,bollywooddance,pataakha,7.7/10,hello hello rekha bhardwaj pataakha bollywooddance
bola har har har,"aaman trikha, badshah, sukhwinder singh",bollywooddevotional,shivaay,9.3/10,"bola har har har aaman trikha, badshah, sukhwinder singh shivaay bollywooddevotional"
bolo har har har,"anugrah, badshah, megha sriram dalton, mithoon, mohit chauhan, sukhwinder singh",bollywooddance,shivaay,9.3/10,"bolo har har har anugrah, badshah, megha sriram dalton, mithoon, mohit chauhan, sukhwinder singh shivaay bollywooddance"
tera mera rishta,"kk, shreya ghoshal",bollywoodromantic,jalebi,9.7/10,"tera mera rishta kk, shreya ghoshal jalebi bollywoodromantic"
gal ban gayi,"meet bros, neha kakkar, sukhbir singh, yo yo honey singh",bollywooddance,single,9.0/10,"gal ban gayi meet bros, neha kakkar, sukhbir singh, yo yo honey singh single bollywooddance"
bol do na zara,armaan malik,bollywoodromantic,azhar,9.2/10,bol do na zara armaan malik azhar bollywoodromantic
